SampleID	Visit	observed_otus	shannon	pielou_e	faith_pd
320040-V3-BC	V3	24	4.258606827	0.928820427	3.868553634
320020-V3-BC	V3	30	3.055311039	0.622657257	4.538066878
320023-V3-BC	V3	45	4.383365198	0.798157766	6.772754115
320011-V3-BC	V3	51	5.095145924	0.898230583	5.954629101
320071-V3-BC	V3	14	2.703021206	0.709947263	3.510739627
320055-V3-BC	V3	33	4.063608438	0.805569181	5.500135836
320001-V3-BC	V3	33	4.554103369	0.902804829	5.136752048
320013-V3-BC	V3	52	3.435588248	0.602688287	6.896246596
320039-V3-BC	V3	42	3.35113038	0.621463856	6.135207842
380001-V3-BC	V3	59	4.892235128	0.831638957	6.550439728
320044-V3-BC	V3	25	4.078852285	0.878333032	3.767808548
320069-V3-BC	V3	34	3.959781559	0.778341126	5.124983637
380003-V3-BC	V3	53	4.467694721	0.779985469	6.677125211
320019-V3-BC	V3	77	4.891111009	0.780481508	8.652397976
320032-V3-BC	V3	33	4.684847501	0.928723528	4.204419502
380002-V3-BC	V3	73	4.824936372	0.779494851	8.247185527
320053-V3-BC	V3	41	4.088842819	0.763192371	5.086387978
320077-V3-BC	V3	34	2.42113931	0.475903095	4.600769302
320051-V3-BC	V3	59	3.658294156	0.621879336	6.912479171
320060-V3-BC	V3	35	3.479745817	0.678407841	5.032014895
320036-V3-BC	V3	72	5.050624676	0.818587693	7.455155068
320070-V3-BC	V3	73	4.722265741	0.762907849	7.685203665
320016-V3-BC	V3	36	4.579175036	0.885733359	6.81922903
320050-V3-BC	V3	11	2.550772304	0.737338553	2.975166853
320079-V3-BC	V3	14	2.85311797	0.749370108	3.42727244
320085-V3-BC	V3	12	2.732356653	0.762171613	2.816657241
320028-V3-BC	V3	31	4.445258178	0.897271303	3.630495991
320006-V3-BC	V3	31	4.594415901	0.927378653	3.798847308
320047-V3-BC	V3	7	1.676264729	0.597097544	2.600580039
320067-V3-BC	V3	15	2.509143077	0.642235306	3.90270422
320002-V3-BC	V3	27	3.038035381	0.638928971	3.976219656
320057-V3-BC	V3	35	4.487633417	0.874904622	5.012697393
320014-V3-BC	V3	34	3.547592313	0.697320536	4.772926718
320024-V3-BC	V3	38	2.130934557	0.40605259	4.48171398
320030-V3-BC	V3	66	4.761771602	0.787799655	8.368527229
320031-V3-BC	V3	41	4.164921596	0.777392658	5.103893612
320008-V3-BC	V3	51	4.215774516	0.743204936	5.541539482
