SampleID	Type	Run
320001-V3-BC	BC	1
320001-V7-BC	BC	1
320002-V3-BC	BC	1
320002-V7-BC	BC	1
320003-V3-BC	BC	1
320003-V7-BC	BC	1
320004-V3-BC	BC	1
320005-V3-BC	BC	1
320005-V7-BC	BC	1
320006-V3-BC	BC	1
320006-V7-BC	BC	1
320007-V3-BC	BC	1
320007-V7-BC	BC	1
320008-V3-BC	BC	1
320008-V7-BC	BC	1
320009-V3-BC	BC	1
320009-V7-BC	BC	1
320011-V3-BC	BC	1
320011-V7-BC	BC	1
320013-V3-BC	BC	1
320013-V7-BC	BC	1
320014-V3-BC	BC	1
320014-V7-BC	BC	1
320016-V3-BC	BC	1
320016-V7-BC	BC	1
320017-V3-BC	BC	1
320017-V7-BC	BC	1
320018-V3-BC	BC	1
320018-V7-BC	BC	1
320019-V3-BC	BC	1
320019-V7-BC	BC	1
320020-V3-BC	BC	1
320023-V3-BC	BC	1
320024-V3-BC	BC	1
320024-V7-BC	BC	1
320025-V3-BC	BC	1
320026-V3-BC	BC	1
320026-V7-BC	BC	1
320027-V3-BC	BC	1
320027-V7-BC	BC	1
320028-V3-BC	BC	1
320028-V7-BC	BC	1
320030-V3-BC	BC	1
320030-V7-BC	BC	1
320031-V3-BC	BC	1
320031-V7-BC	BC	1
320032-V3-BC	BC	1
320032-V7-BC	BC	1
320033-V3-BC	BC	1
320033-V7-BC	BC	1
320034-V3-BC	BC	1
320034-V7-BC	BC	1
320035-V3-BC	BC	1
320035-V7-BC	BC	1
320036-V3-BC	BC	1
320036-V7-BC	BC	1
320037-V3-BC	BC	1
320037-V7-BC	BC	1
320039-V3-BC	BC	1
320039-V7-BC	BC	1
320040-V3-BC	BC	1
320040-V7-BC	BC	1
320041-V3-BC	BC	1
320041-V7-BC	BC	1
320043-V3-BC	BC	1
320043-V7-BC	BC	1
320044-V3-BC	BC	1
320044-V7-BC	BC	1
320045-V3-BC	BC	1
320045-V7-BC	BC	1
320047-V3-BC	BC	1
320047-V7-BC	BC	1
320049-V3-BC	BC	1
320049-V7-BC	BC	1
320050-V3-BC	BC	1
320050-V7-BC	BC	1
320051-V3-BC	BC	1
320051-V7-BC	BC	1
320053-V3-BC	BC	1
320053-V7-BC	BC	1
320054-V3-BC	BC	1
320054-V7-BC	BC	1
320055-V3-BC	BC	1
320055-V7-BC	BC	1
320056-V3-BC	BC	1
320056-V7-BC	BC	1
320057-V3-BC	BC	1
320057-V7-BC	BC	1
320060-V3-BC	BC	1
320062-V3-BC	BC	1
320062-V7-BC	BC	1
320063-V3-BC	BC	1
320063-V7-BC	BC	1
320066-V3-BC	BC	1
320066-V7-BC	BC	1
320067-V3-BC	BC	1
320067-V7-BC	BC	1
320069-V3-BC	BC	1
320069-V7-BC	BC	1
320070-V3-BC	BC	1
320070-V7-BC	BC	1
320071-V3-BC	BC	1
320071-V7-BC	BC	1
320074-V3-BC	BC	1
320074-V7-BC	BC	1
320077-V3-BC	BC	1
320077-V7-BC	BC	1
320079-V3-BC	BC	1
320080-V3-BC	BC	1
320080-V7-BC	BC	1
320084-V3-BC	BC	1
320084-V7-BC	BC	1
320085-V3-BC	BC	1
380001-V3-BC	BC	1
380002-V3-BC	BC	1
380002-V7-BC	BC	1
380003-V3-BC	BC	1
380003-V7-BC	BC	1
