	320001-V3-BC	320002-V3-BC	320003-V3-BC	320004-V3-BC	320005-V3-BC	320006-V3-BC	320007-V3-BC	320008-V3-BC	320009-V3-BC	320011-V3-BC	320013-V3-BC	320014-V3-BC	320016-V3-BC	320017-V3-BC	320018-V3-BC	320019-V3-BC	320020-V3-BC	320023-V3-BC	320024-V3-BC	320025-V3-BC	320026-V3-BC	320027-V3-BC	320028-V3-BC	320030-V3-BC	320031-V3-BC	320032-V3-BC	320033-V3-BC	320034-V3-BC	320035-V3-BC	320036-V3-BC	320037-V3-BC	320039-V3-BC	320040-V3-BC	320041-V3-BC	320043-V3-BC	320044-V3-BC	320045-V3-BC	320047-V3-BC	320049-V3-BC	320050-V3-BC	320051-V3-BC	320053-V3-BC	320054-V3-BC	320055-V3-BC	320056-V3-BC	320057-V3-BC	320060-V3-BC	320062-V3-BC	320063-V3-BC	320066-V3-BC	320067-V3-BC	320069-V3-BC	320070-V3-BC	320071-V3-BC	320074-V3-BC	320077-V3-BC	320079-V3-BC	320080-V3-BC	320084-V3-BC	320085-V3-BC	380001-V3-BC	380002-V3-BC	380003-V3-BC
320001-V3-BC	0.0	0.5853598191955509	0.5976520658330623	0.5776722821459749	0.7278862653454705	0.5675362438606343	0.7314377838594347	0.6931984113259297	0.5586565383291668	0.5609149458047625	0.6360079212614353	0.5335173171729752	0.6393966271133693	0.6371507246035575	0.5883303191577868	0.6530733015416004	0.5518754758801981	0.643560915015015	0.5828021662656079	0.5118673531541691	0.5804489556484054	0.5842766257195803	0.5980376607832846	0.6097241030310513	0.605177877545021	0.48342855653824796	0.6523377611165044	0.6635349400868096	0.6989775602613366	0.6648378842035019	0.6673875401478261	0.5742098314907941	0.6249096739806664	0.6097844360651805	0.6325871885435334	0.5493373920298964	0.5326121153806996	0.7977062515245812	0.8418889116604327	0.7376316434915631	0.6200220355696631	0.6252499024485797	0.642897636150676	0.5640078706546833	0.6033941882557025	0.6507265426523992	0.6388805303183155	0.6450418523516519	0.7119585308885102	0.6611120343209936	0.6628571768429422	0.641371528806761	0.6762632519657722	0.6554774420981213	0.6840308851859369	0.5505193108997244	0.7170123643542656	0.6816325879417644	0.5294273588311875	0.6125392856830362	0.6572213672749746	0.6749984284519527	0.6481408103282325
320002-V3-BC	0.5853598191955509	0.0	0.509221113100779	0.5450244308447558	0.7330514461365101	0.4702970639733902	0.7297439512677479	0.7071969181072614	0.48485805511332286	0.5727937543120428	0.612115699847517	0.5825896113696438	0.640592276734388	0.6219009908744709	0.5537896835895891	0.6855413831418401	0.5084525868290852	0.6267677514415357	0.5487271403312742	0.47718260882782143	0.6188543143005484	0.5310097331148088	0.5400913724561351	0.6633076260936818	0.6118027295111205	0.3545725289226669	0.640789879405206	0.6363473955809135	0.6801153307644622	0.6755156086092421	0.6541426787187937	0.5104852898708556	0.6168715546835124	0.5932270161498318	0.5019016519433014	0.5345626790575745	0.4333345389700065	0.7912832277757645	0.7667413239345419	0.6454722623553022	0.633019310185009	0.5924374882159676	0.7282993596200761	0.5926319138038106	0.5617899659342623	0.6352822711737357	0.6208287242640939	0.5351858238962077	0.7557458838239728	0.6612862348771277	0.6223175289999416	0.5851152040419878	0.6978356768140606	0.5559788838569434	0.7094891743261056	0.6509425968764112	0.6019641020047777	0.6518277444285354	0.5653435548811673	0.5171118810323504	0.7057435671563312	0.6672242376470472	0.6946212364346993
320003-V3-BC	0.5976520658330623	0.509221113100779	0.0	0.5385212550905945	0.713964951984113	0.5681784822659252	0.6864270169425724	0.6847841398116338	0.45595051543634646	0.5808856714946633	0.5476662404272152	0.5512369971070351	0.5616974407943721	0.5195188238786825	0.5132272413203979	0.7017356138871291	0.5937221412371718	0.5869345737820056	0.446528015178153	0.4411376467198886	0.5184787823918326	0.5334770412286332	0.5860586059167485	0.593205255283047	0.5551461508683543	0.5349876604781428	0.4654861195549529	0.6197829584553178	0.6464387841431529	0.6192445263017515	0.5687991468939909	0.49460727616501016	0.6143768047532525	0.554259407572214	0.5001704399885023	0.639230452126188	0.517305838442282	0.7117284946999219	0.7391032175609077	0.6607623800114697	0.5899819658242087	0.5797747402824284	0.7020024622285278	0.5112154165007214	0.4656139276044439	0.64156779508978	0.5886488090992782	0.5100894435721707	0.7135170233724033	0.5916540595248827	0.5430819203644479	0.5654524667872699	0.5959219333329431	0.5232001503549613	0.6475707952604436	0.6161912699667507	0.6175893344162864	0.596648007261769	0.5724634415166158	0.47310122221239365	0.6623008312436292	0.6355969639247648	0.6763736911941655
320004-V3-BC	0.5776722821459749	0.5450244308447558	0.5385212550905945	0.0	0.6734681532942857	0.5352680744300158	0.6465420646374157	0.6208921860808017	0.46378915538601573	0.5509646920475759	0.5859905577726516	0.554739974749749	0.556219424143588	0.5491730719744358	0.5737390685658328	0.6417738754473475	0.5097246796700099	0.5343986712287356	0.5978524723787232	0.5434525766936443	0.5243806726566608	0.4743573542817186	0.5674678043331541	0.6066971237362462	0.5599529993133887	0.5074018270311025	0.6174263543485731	0.5860509895013545	0.6507020647975214	0.5793166409221189	0.6289402943014665	0.5241295465820699	0.6391696688574526	0.5461953622664556	0.5773484933247386	0.5763323436668533	0.5530390236129639	0.8297061992483793	0.8477233617995459	0.7445498954449508	0.5419842195752113	0.5036302686489439	0.6132645689727106	0.6197985485545028	0.5204549615223923	0.5799408304050835	0.5462600135596255	0.6658827208123406	0.6747854968659253	0.7075549805859745	0.6398966756428836	0.5165014143630411	0.6128008398828289	0.6633733477607837	0.5666152758056309	0.5589477379714595	0.7261562405063101	0.6004768577724844	0.540387243252641	0.6200316630398803	0.5788942466045214	0.6393962113692682	0.6418661007506549
320005-V3-BC	0.7278862653454705	0.7330514461365101	0.713964951984113	0.6734681532942857	0.0	0.7520211877060995	0.6505206356702209	0.2807540463534561	0.5960238395342948	0.6015682292100437	0.6491816739973809	0.5621271504795313	0.658596184302226	0.6467681244473547	0.6524253020072281	0.6602749832919984	0.6595804516990538	0.7845141011235959	0.7651878322483543	0.6738615629772507	0.5987016327308156	0.5755154068574031	0.61461298730261	0.6563217229693122	0.4252408833014632	0.6455959008000817	0.6908728290587365	0.4829733486759064	0.6709167579878623	0.4553489618707268	0.7993983025510907	0.7313354983288123	0.6624821858039004	0.6881149062983772	0.7479449177937595	0.6694796931206494	0.7875562206905704	0.892419265968861	0.9102007203026045	0.8879150321579017	0.5741291345054662	0.47593977554180544	0.5158508891696179	0.7700297922783842	0.6773620218356383	0.6159292946140008	0.49564468135919987	0.8334177730294254	0.5645150726418262	0.836808760906445	0.8225920866379272	0.430084942358994	0.4288854459022644	0.8298342451531306	0.5023766082465648	0.6571070585536621	0.8503968466482806	0.4571601454627257	0.6635753206617305	0.7818584398873054	0.49477943988701584	0.5061493631512097	0.5687697333304131
320006-V3-BC	0.5675362438606343	0.4702970639733902	0.5681784822659252	0.5352680744300158	0.7520211877060995	0.0	0.7279558921460874	0.7043597444292725	0.5525839507575544	0.5838195425452202	0.6705780370225922	0.509041237118625	0.661403534802309	0.6091892032806581	0.6147614629125567	0.6666633145798139	0.43790805534385147	0.6206243738648988	0.4786700081471895	0.5905415714030184	0.6160625783166318	0.5660104888032484	0.597487230677715	0.6552642614029824	0.5608363041402228	0.40700972042152084	0.654899480410816	0.6244079370103733	0.7018609346262336	0.6578376207012396	0.617438178796858	0.5412189953552969	0.6401967024888736	0.6130429735892398	0.5669298239309647	0.5668058475744534	0.5407610723584547	0.7918152855920076	0.7943576544491722	0.6808506806759985	0.6561304161380451	0.5916489453549235	0.6975218696690048	0.5824015996923605	0.5259469545356321	0.6724858517323311	0.6388163179447589	0.5671473458512768	0.7403015537400048	0.6818188569756053	0.5245391121602319	0.6467322573219011	0.6813670893375077	0.5615155033858836	0.6924062335896713	0.6336626873509271	0.618995240562828	0.6571318825978413	0.5532020571638286	0.4869242104819363	0.6864761771210157	0.6888857977570239	0.6783820985052047
320007-V3-BC	0.7314377838594347	0.7297439512677479	0.6864270169425724	0.6465420646374157	0.6505206356702209	0.7279558921460874	0.0	0.5999387700169017	0.6443206678687013	0.6100940887810711	0.6598893500189988	0.6152513288742335	0.6115870443926287	0.6258728154587916	0.6161812685219454	0.5786754767367225	0.663482280614456	0.6468267297091306	0.6653051479022356	0.631901778168511	0.6034588016260164	0.62088072963503	0.6976289468590079	0.5765970001265087	0.643206576138782	0.6553402047817163	0.6588745421602265	0.5192270021232194	0.5942001583829875	0.6057118619477264	0.6934299655846171	0.657847156073432	0.6852286546465316	0.6937140526900885	0.6533597151651804	0.7442934859275527	0.7172638682398008	0.8576195991005328	0.8599952784300688	0.8084226208979741	0.5069728261480231	0.578775845197964	0.5945653625005729	0.6956402964020589	0.6446847388018923	0.603473926104868	0.5784331005084199	0.7669163684088013	0.5058221310821406	0.7666099392084245	0.7429806663446855	0.5979663910063264	0.5781670291700768	0.7478582561270372	0.5310086876260338	0.6480851298148672	0.777072775133119	0.5800784725061141	0.6780948776701559	0.7049937168974497	0.6128486673782432	0.6108577137702933	0.5208084414561187
320008-V3-BC	0.6931984113259297	0.7071969181072614	0.6847841398116338	0.6208921860808017	0.2807540463534561	0.7043597444292725	0.5999387700169017	0.0	0.5330502396238745	0.5390147304901441	0.6546447303774544	0.49280958922918894	0.624803040248505	0.6272838737547699	0.6407780673590907	0.6288322081558998	0.6127158218586463	0.7536975955445204	0.7127905692492941	0.6434605825400965	0.5414927025001012	0.4982753732913104	0.5700431943976001	0.5911293384511189	0.3858354711581318	0.5836871581659542	0.6238515488639335	0.40860452573138983	0.6489608124942431	0.4693255938485375	0.7668472799382654	0.697461051388513	0.6292600235241491	0.6624656820655933	0.7129091139743432	0.6084349523927248	0.7421052246417651	0.8833884341496964	0.8944258351634087	0.8791962053440842	0.5100611149573386	0.3634310731482135	0.47829225341370163	0.740865730840999	0.5704687470516171	0.5545530627845028	0.4219062986302744	0.804789208748545	0.5305292889452786	0.8181499261969174	0.8165391173377905	0.345221283704253	0.41158813886511275	0.80838091421101	0.4265250625961192	0.6371159531969225	0.8313409036027166	0.3722619985831871	0.605715457598676	0.7375271586650893	0.45523588903126394	0.5074240595759372	0.5244452843409468
320009-V3-BC	0.5586565383291668	0.48485805511332286	0.45595051543634646	0.46378915538601573	0.5960238395342948	0.5525839507575544	0.6443206678687013	0.5330502396238745	0.0	0.4799445949763002	0.5513129185035306	0.47393916063792507	0.5757651294525373	0.5846350784849047	0.4780119482022724	0.6428043206426899	0.5318235171438628	0.6674150144106836	0.5757239112861527	0.4829102942433036	0.46477400579748107	0.26785327063823966	0.4932321836925174	0.5848962576494444	0.40221941660294375	0.40875401800254857	0.5652918403561515	0.4882954236693726	0.6309235971813748	0.5620460377064695	0.6608111486447232	0.5854240211066687	0.6064527666932561	0.5984683468711093	0.5551928109657001	0.48706312376316535	0.5523733128679458	0.8224487896739998	0.8297645445908788	0.7002680823501671	0.4999500739420092	0.3575872863650833	0.607453974967034	0.5796312940738034	0.4599874659487919	0.5779703490704765	0.47285701466913016	0.5776179776958074	0.6466124885441505	0.6944709693938097	0.6606506480589885	0.3902806872226324	0.5608144845525007	0.6206540425357645	0.5750330936667127	0.5673741924418798	0.6929005437128796	0.48199024040699806	0.4965451136713236	0.5439785355105754	0.5699178190020572	0.5994142501969547	0.6017307504881904
320011-V3-BC	0.5609149458047625	0.5727937543120428	0.5808856714946633	0.5509646920475759	0.6015682292100437	0.5838195425452202	0.6100940887810711	0.5390147304901441	0.4799445949763002	0.0	0.5142118758315741	0.4719026254564627	0.5816318335195418	0.5535935480845515	0.41351823347517497	0.5919623129993837	0.5340085005786045	0.6278658906128984	0.5592586744144714	0.46157790351566297	0.516057618234894	0.513047779552507	0.5327510677584696	0.546763919607092	0.4964695522486563	0.4462993758901811	0.6224093903717286	0.5488506929838552	0.5704574308156313	0.5504502882977594	0.6839447337059771	0.5469755530100795	0.5869916926106267	0.5536132721707324	0.5888113093327085	0.556359260330134	0.6170092494712307	0.8398019723524698	0.8447794180419493	0.7399207312972056	0.4859170319099419	0.5286737628042969	0.5619213240346503	0.6000429617615377	0.6078329818191893	0.6497053274450882	0.5543110914960114	0.6583112943707539	0.5968952678729658	0.7355402529154014	0.6794272607604865	0.5204472631110945	0.517613952793474	0.6661879601232126	0.5579848212526501	0.6416223155191525	0.7323386628012971	0.5587994698631995	0.537238046717478	0.6072754247558777	0.5461382636630316	0.5496077657086955	0.5635590160053814
320013-V3-BC	0.6360079212614353	0.612115699847517	0.5476662404272152	0.5859905577726516	0.6491816739973809	0.6705780370225922	0.6598893500189988	0.6546447303774544	0.5513129185035306	0.5142118758315741	0.0	0.5540696911243846	0.6019060722115857	0.48936550107864085	0.5060641727801272	0.6275845724427817	0.6076812082365707	0.6084283172430093	0.5910222844503834	0.438738119609277	0.5096765050491687	0.5756682464630435	0.6000650188881794	0.5541368032626092	0.5841242462725538	0.5497558060267993	0.6192405481398288	0.6159631461814076	0.5663124326709285	0.545013479710514	0.6643824896746425	0.5425027128912601	0.6285723276560654	0.5185819792129561	0.5951077165204741	0.6283389244417182	0.5647718960592135	0.8108660847151399	0.8184998107985789	0.7424963461060962	0.5697204422382626	0.611246419856365	0.6365688674304847	0.5970730075687205	0.628946246996026	0.6319888079257546	0.621985698855514	0.6930870778452196	0.6482881039360731	0.6859748175066835	0.6887879674622581	0.6004405704902638	0.5330430941766491	0.6678392998634867	0.5851596197591674	0.6730087237919307	0.6369461030116997	0.6531660012645801	0.6536535161839745	0.655751293257442	0.5732806630918128	0.5900329818121695	0.6231842946876435
320014-V3-BC	0.5335173171729752	0.5825896113696438	0.5512369971070351	0.554739974749749	0.5621271504795313	0.509041237118625	0.6152513288742335	0.49280958922918894	0.47393916063792507	0.4719026254564627	0.5540696911243846	0.0	0.5305601078355784	0.5609664307801843	0.5108251528660882	0.5925856110935072	0.47956635045975593	0.6723379752272151	0.5293227646795261	0.5152298567180357	0.4744381740266248	0.46384303769585983	0.5089713394655114	0.5526762938367136	0.4382587573052262	0.448668223491244	0.5501100193552844	0.5232309373933032	0.6017305821580003	0.5335670719873779	0.6126061145691671	0.5643371872753021	0.6433334865349375	0.5524762012577862	0.6281027835765792	0.5536086703255763	0.5627395952919294	0.8445464007235778	0.8603381032703007	0.761037952214771	0.5182040140361531	0.438845345131569	0.6049279000580524	0.5688066778872987	0.5006457030986151	0.616522183977401	0.41987020798454006	0.6607427071443143	0.6061605518642779	0.6752053533984841	0.6490263136885847	0.49589845670809723	0.5820266713195614	0.6736587855535382	0.5044052001054637	0.6076268037333412	0.6980529717758874	0.48557791337522954	0.5315389391430184	0.6092145996367995	0.5458041556498903	0.5858120715320172	0.517837624593703
320016-V3-BC	0.6393966271133693	0.640592276734388	0.5616974407943721	0.556219424143588	0.658596184302226	0.661403534802309	0.6115870443926287	0.624803040248505	0.5757651294525373	0.5816318335195418	0.6019060722115857	0.5305601078355784	0.0	0.5851054657377884	0.5189500413966245	0.6174368528846095	0.639038762257913	0.6274214217332518	0.6140147261667623	0.5476710616012849	0.516140787365658	0.5608334894604228	0.6104732527414508	0.5479338845877294	0.5886716549880544	0.6087637118283131	0.63038933087249	0.6212101014645771	0.5783198880906192	0.5904603241743759	0.5995294805527817	0.5285036017020243	0.6608674731170375	0.5505997975301304	0.6010216095709832	0.6716151631240442	0.5971671096474421	0.8045401482073438	0.8349163021076094	0.7732161810488083	0.5676097836165892	0.5279744233237594	0.6411148019992701	0.5800409986910918	0.6433098291475634	0.6839777590600994	0.5344854748423301	0.6984582090723508	0.6348416220822152	0.6933353325937123	0.6647402440938954	0.5629905964000534	0.5531814676948933	0.6773705440955506	0.5798863225298817	0.6953037154106978	0.7198681902163839	0.5971876035312693	0.6529812865466867	0.6252606665501595	0.5898572884611832	0.5852370086721783	0.6446825582185727
320017-V3-BC	0.6371507246035575	0.6219009908744709	0.5195188238786825	0.5491730719744358	0.6467681244473547	0.6091892032806581	0.6258728154587916	0.6272838737547699	0.5846350784849047	0.5535935480845515	0.48936550107864085	0.5609664307801843	0.5851054657377884	0.0	0.5383066096324937	0.620238405766727	0.5545229690593091	0.5843212968221511	0.5835873401143609	0.47264874391502726	0.5233146787181412	0.5946922677879029	0.6327957017562286	0.5715563353789092	0.5905352029744271	0.5648097980854433	0.5661772887259036	0.5733292762850518	0.5837630695458403	0.5266985168048838	0.6064464607323699	0.49665041170484353	0.5968617108544821	0.49380716808214753	0.59853518060932	0.6337710247065296	0.6190668691657742	0.794293282499429	0.7785636926221935	0.7581517646051237	0.5858222843115208	0.5697669987868258	0.6343102034309684	0.5946157163532856	0.6275931558046589	0.6070981342605535	0.6349936308901101	0.6701521245422764	0.6246249792976508	0.6864691880265381	0.6170032344003145	0.5883892351583744	0.5526604219867107	0.6595020368001352	0.5791788370369596	0.6973212979279035	0.703067783765714	0.6300203211000255	0.5995985592391242	0.6173152859271791	0.6221625497236409	0.5782329947669806	0.6046606968868674
320018-V3-BC	0.5883303191577868	0.5537896835895891	0.5132272413203979	0.5737390685658328	0.6524253020072281	0.6147614629125567	0.6161812685219454	0.6407780673590907	0.4780119482022724	0.41351823347517497	0.5060641727801272	0.5108251528660882	0.5189500413966245	0.5383066096324937	0.0	0.6354286577763831	0.5337399669009901	0.5957728464265881	0.5597309561280814	0.4213456396291462	0.5317796925881361	0.5111700027855008	0.5222019495583246	0.572104916229209	0.5706919055270804	0.4705848532459452	0.5377143518122236	0.5521634980893436	0.6052160015686509	0.6073086489842471	0.60599971317245	0.4813126899273202	0.5485308676450943	0.5310641229591576	0.528880171731274	0.5900287306873792	0.6063434390603323	0.7880784289468059	0.7846915806115302	0.6748036599614154	0.5620433345911853	0.5310217612362641	0.6281114694508876	0.5482101230413782	0.6637350439673002	0.6932453820782728	0.5463783263881965	0.6183600049394684	0.6319030331627529	0.6095146236623779	0.5902212439063099	0.5562945184082816	0.5597870069157	0.6008521714758341	0.5990527138040542	0.6403686293875328	0.6559897788326894	0.598947363771605	0.6008118390223197	0.514148882614381	0.616535426677214	0.5804622119956422	0.6412278889139879
320019-V3-BC	0.6530733015416004	0.6855413831418401	0.7017356138871291	0.6417738754473475	0.6602749832919984	0.6666633145798139	0.5786754767367225	0.6288322081558998	0.6428043206426899	0.5919623129993837	0.6275845724427817	0.5925856110935072	0.6174368528846095	0.620238405766727	0.6354286577763831	0.0	0.6547525857926771	0.6447593551543522	0.6957166066951558	0.5986485662870259	0.6199301097611827	0.6044377136808216	0.6905094537314763	0.5202177177625974	0.6028881363453304	0.6251680554849677	0.7381729417500162	0.5851145566246077	0.571672029623341	0.5332859864594215	0.7594806675174373	0.6233689955729071	0.7315061796696012	0.6321251001626753	0.6972906529366655	0.6872079640697136	0.674653391107917	0.8965840630319993	0.8887871804802626	0.8369800868061854	0.5155850611584321	0.5632255877131309	0.4689881205338351	0.6983188736990498	0.7049121297517453	0.6759754291682132	0.6166020732699966	0.7936366174766628	0.49645066260890136	0.8119217867940055	0.7889472577170379	0.5927295103315011	0.5916588616436428	0.7811591136825845	0.5585647248743671	0.6925889820134429	0.8065501771991015	0.6380715574063529	0.6098852928826014	0.7618268277229995	0.5649902677865154	0.5503107708482641	0.46746377347868967
