	320001-V7-BC	320002-V7-BC	320003-V7-BC	320005-V7-BC	320006-V7-BC	320007-V7-BC	320008-V7-BC	320009-V7-BC	320011-V7-BC	320013-V7-BC	320014-V7-BC	320016-V7-BC	320017-V7-BC	320018-V7-BC	320019-V7-BC	320024-V7-BC	320026-V7-BC	320027-V7-BC	320028-V7-BC	320030-V7-BC	320031-V7-BC	320032-V7-BC	320033-V7-BC	320034-V7-BC	320035-V7-BC	320036-V7-BC	320037-V7-BC	320039-V7-BC	320040-V7-BC	320041-V7-BC	320043-V7-BC	320044-V7-BC	320045-V7-BC	320047-V7-BC	320049-V7-BC	320050-V7-BC	320051-V7-BC	320053-V7-BC	320054-V7-BC	320055-V7-BC	320056-V7-BC	320057-V7-BC	320062-V7-BC	320063-V7-BC	320066-V7-BC	320069-V7-BC	320070-V7-BC	320071-V7-BC	320074-V7-BC	320077-V7-BC	320080-V7-BC	320084-V7-BC	380002-V7-BC	380003-V7-BC	320085-V7-BC
320001-V7-BC	0.0	0.6370452646289564	0.6286131810773994	0.4712074154390363	0.5894528154161341	0.6102918958471029	0.4337908179111618	0.5516305901774367	0.5766918789297739	0.6259005094237186	0.546777494463511	0.3907324066192519	0.6658823927014135	0.6746900372868738	0.48373313738686624	0.6860383580899974	0.4728345052195873	0.4983593691621286	0.608072500756412	0.4051663554759157	0.5019946108896	0.5357592788672827	0.5399958378829582	0.604799007428928	0.5676711041958468	0.5260617453739276	0.7432199824168878	0.6431021366376041	0.5202850106642976	0.5821804124338027	0.8161066378310733	0.7309941479154367	0.7336043753522107	0.4226384733655229	0.880467179150017	0.791405546695815	0.5965045051514668	0.8347076102807747	0.4781132309537037	0.7327594106581855	0.6701596167012662	0.7285419449917722	0.6980208257273265	0.46785765269387747	0.6460039683906588	0.5313459036832204	0.5609285959789481	0.8121342919360962	0.463317090320469	0.7181696600131758	0.7648196000722272	0.661677218102633	0.5989208875717666	0.5078303736596406	0.6167797448618412
320002-V7-BC	0.6370452646289564	0.0	0.6572181976140198	0.6599853231811144	0.6067677499344059	0.6534460324449568	0.6182732266367321	0.6192181776941749	0.5845249224751233	0.5963343564793835	0.6765713421458609	0.6430567260829025	0.6334185797933872	0.6281165515626338	0.6897965159559171	0.6543666181853229	0.6366271545107773	0.6451260977578841	0.5607638338153876	0.6388555272836203	0.6079680132727897	0.5787349573827837	0.6327348816127059	0.5978735972541113	0.6047496890367493	0.6265772481990577	0.7407392603268663	0.5883105251674542	0.624844936763569	0.6498959071788039	0.7928733321190753	0.7026076641527607	0.7003508259482886	0.6204946553672174	0.8268401053374007	0.8151513001808388	0.5928408695968259	0.8143788468111176	0.6865670552036532	0.6854337953430683	0.657382746000851	0.6331597823939802	0.5665910454825482	0.6713809115274982	0.6746365655603814	0.6280971154263001	0.6279730112255688	0.7555354741868938	0.6340766500376768	0.6532118270530238	0.7297754163316869	0.6538107674029012	0.5674546188857844	0.6653746132910077	0.5750042209038846
320003-V7-BC	0.6286131810773994	0.6572181976140198	0.0	0.6216319385220185	0.5634315081155837	0.5965925314633612	0.581966212993518	0.6102545727486746	0.5930854854694155	0.5761635366344082	0.6180928825973137	0.5587586085254053	0.5641163222190119	0.6623643721083269	0.6654509353458696	0.6389535715900432	0.5864498332313777	0.5456831334361786	0.5984282993574248	0.6625015860458837	0.6225202975607457	0.4872435563772481	0.6016221004777331	0.5686739003634246	0.5913959324374907	0.635620924358762	0.6450110430185905	0.6013776255098033	0.6565657900049927	0.6247886333902651	0.666038000689452	0.6763853565701319	0.6790922135961266	0.6128739148677912	0.8154001003900766	0.6981364494456201	0.5500692102236736	0.7370146750960005	0.6780796554400814	0.6197687060912639	0.600697138412588	0.7072845157318914	0.5759012620503934	0.6708127120027693	0.545355165214716	0.5723581838356453	0.6219357049572931	0.6507005314098548	0.6449574136129141	0.5892770884252665	0.6555937309165923	0.6292336210417627	0.6394375564965021	0.6374716029342151	0.5801011168905557
320005-V7-BC	0.4712074154390363	0.6599853231811144	0.6216319385220185	0.0	0.5683136461673535	0.5892048305519149	0.5041872341505886	0.5365559329242183	0.5706084375838539	0.5883765539739494	0.47031846869810345	0.47100145921115183	0.6052199647374641	0.6553907774985986	0.5647757211935798	0.5882813925492021	0.426147023382491	0.4148897856952089	0.6010561606880448	0.47871335106083096	0.4866724600662326	0.5368034652449911	0.5103428141534299	0.6194268165683123	0.5941274747111798	0.3932270240083571	0.7146405824279297	0.5651583945301588	0.45981339342654565	0.5845278830919413	0.7726107762170233	0.7305221637876629	0.694179555949261	0.4282882303388258	0.8608090906217932	0.7720199189826306	0.580075508849293	0.7914558056074155	0.5039250189711925	0.6968960163142303	0.6671392171121237	0.7129070749924628	0.687025770872366	0.41200137075047244	0.6005690596848643	0.47236696229451136	0.5353486293000999	0.7750358073225252	0.3872972693005334	0.6969975151851663	0.7460522541894247	0.6902831433238807	0.4851658625957851	0.5777340654130828	0.5573599249854414
320006-V7-BC	0.5894528154161341	0.6067677499344059	0.5634315081155837	0.5683136461673535	0.0	0.593372192135538	0.5786523893376314	0.5384585210587329	0.5109945679643864	0.5537503918158675	0.5786285947773765	0.5573954708718135	0.5307014891780981	0.612962545706728	0.6676557382425871	0.6198442177922492	0.509728226345346	0.49041157154178355	0.5962906463314558	0.6370711309253646	0.6399101699438533	0.4862991837852857	0.5233540796785391	0.4905559729546913	0.5091269809370585	0.5120562398281769	0.6360984842943117	0.591451457149244	0.5654721426685123	0.5638673082470599	0.6966580208960077	0.6479180660528713	0.674132592515532	0.5928371962635415	0.8390413766120737	0.7023166899480433	0.5418314474956439	0.7419975733848412	0.6841894250336581	0.6094147259087785	0.6314397232562289	0.6940414213384501	0.590854483554212	0.653274561201049	0.600478583080878	0.6053180733272668	0.5203410253116664	0.7066623044941717	0.5956307664814294	0.5553971446181583	0.6609606042411196	0.5797004991315042	0.5780997039694821	0.6321697679302725	0.6122424664970916
320007-V7-BC	0.6102918958471029	0.6534460324449568	0.5965925314633612	0.5892048305519149	0.593372192135538	0.0	0.589710111385975	0.48680547671861657	0.542780249143323	0.5372865928827378	0.5690398055261554	0.5696322053628886	0.5884803715209808	0.5560348163325924	0.6174711409991068	0.6192955257047743	0.510738556376024	0.5569838110692951	0.5795514460269764	0.6038340763759495	0.5402040771489068	0.5486866179545522	0.5685534110466032	0.522697426373841	0.6093013296173344	0.533264478822554	0.623607808776763	0.6150084292591935	0.6195894444254005	0.5711526091891574	0.7155658648453184	0.6862739887013607	0.7033777637763972	0.584460742896623	0.8206591332695634	0.7068841119503377	0.5333240053572907	0.7552440930667694	0.6192003840004842	0.628113902423791	0.6462704198118516	0.6719190267275634	0.6340443443885931	0.5995504481604489	0.5908652433855945	0.6008977232529986	0.5789789219185272	0.6876853701092349	0.5840060789210593	0.586639943515419	0.6607386108029897	0.630420113744681	0.6138855560441462	0.6595738586824349	0.5778594422070739
320008-V7-BC	0.4337908179111618	0.6182732266367321	0.581966212993518	0.5041872341505886	0.5786523893376314	0.589710111385975	0.0	0.5775833736961966	0.5995970414572471	0.5793871580438372	0.5425679563069927	0.41113992826593604	0.6309329586680185	0.7003040009323741	0.5597277233388933	0.6646091123907263	0.4867355304227279	0.4637311877878816	0.5883923557902171	0.44669398407861666	0.48210346915366675	0.5849857436198738	0.610445384992087	0.6341245433038782	0.570442512282019	0.5074817784443579	0.7848022399869211	0.6405252980560634	0.49959462347047146	0.48373901093712884	0.8156914855757161	0.7435477312416516	0.751895993832735	0.4891162284210871	0.8787409064829483	0.8063022090040419	0.5949395815632379	0.832229510284573	0.5233515198400438	0.7199507660284555	0.6567399357261107	0.7500277708940934	0.7068231847014561	0.46130229658365607	0.6521825447848241	0.5148698682695229	0.556617404404114	0.7987571199418277	0.4519889572388605	0.7031071153346722	0.7702236267995103	0.6811466246283009	0.536838629989239	0.5734974460973469	0.5694986537592173
320009-V7-BC	0.5516305901774367	0.6192181776941749	0.6102545727486746	0.5365559329242183	0.5384585210587329	0.48680547671861657	0.5775833736961966	0.0	0.5262620713046234	0.5817823196605559	0.5029555133704825	0.5672115826905619	0.5126478072944836	0.5240714665582906	0.6214220891563152	0.5440534472615819	0.5425456912051676	0.49006669274533554	0.5257292837615632	0.5948276176836461	0.5397577794276139	0.48466648488306424	0.4955541890240999	0.4858477163961908	0.529494374416063	0.5315416228078421	0.6989931718242105	0.5914854982290245	0.5680603756487457	0.5782370610579274	0.7432298746337824	0.594243310617847	0.6880684702843092	0.5536487303217944	0.8325962674642734	0.7129046443984316	0.4977171190391215	0.7504592530809898	0.6003788118257044	0.6131548057294576	0.631398027562448	0.6539430142095456	0.6163153178146705	0.6125852386757539	0.5371921891673754	0.5898270403874618	0.5286123616125861	0.7078416345159813	0.5832299590034318	0.6094021363333331	0.6546914369577852	0.5983833782341841	0.596967116900203	0.669336640250474	0.5478336216872756
320011-V7-BC	0.5766918789297739	0.5845249224751233	0.5930854854694155	0.5706084375838539	0.5109945679643864	0.542780249143323	0.5995970414572471	0.5262620713046234	0.0	0.6446980388192449	0.5551714145180169	0.5787734982245976	0.607947914924421	0.5898506522155325	0.6543846300463145	0.5966846970938244	0.5572957539557084	0.478392926940447	0.5971703361263587	0.5814815227205359	0.592399324243676	0.4972563219322526	0.6231983465556897	0.5404466538049277	0.40541724587078065	0.5235981754591574	0.7246624748922433	0.640118465410599	0.5862032401218457	0.5418733269801372	0.7456712241785888	0.7151829374495992	0.7577547943415242	0.5517136229520594	0.7864544312365986	0.7737791894367275	0.49932403570804884	0.8167609110248841	0.6358588205359476	0.6414645295868971	0.68822477491811	0.5983421839104253	0.6258577361199176	0.582146119282691	0.555308212472952	0.5213934186128313	0.5689867565114941	0.7744289065061547	0.544371912159835	0.6321903978896625	0.6972950814359026	0.6878246623754608	0.5535082757599378	0.6917804246133922	0.6022724014847883
320013-V7-BC	0.6259005094237186	0.5963343564793835	0.5761635366344082	0.5883765539739494	0.5537503918158675	0.5372865928827378	0.5793871580438372	0.5817823196605559	0.6446980388192449	0.0	0.5480341406848771	0.5785571678653411	0.5096900779714927	0.5373008453125867	0.6133638762239663	0.5274873727681144	0.6002385209024821	0.5261090431681893	0.49501670578411305	0.661813104793587	0.6127306547002848	0.5627223892815009	0.4782887575430511	0.5672320568595626	0.6103418691082079	0.6089357231081944	0.6711124830766976	0.5542852946787228	0.6133241964853808	0.5284208012621278	0.6724242645290324	0.6918614932313126	0.6416153000165042	0.6015648256257814	0.8409133188611239	0.7476395271688779	0.5042723689757619	0.7572722446002512	0.6343915058462036	0.5507297316635769	0.6061514003123328	0.6535648146467343	0.613341683939464	0.6318783223326015	0.576257598235909	0.6134718007096823	0.6248548459462897	0.6590910704678374	0.5972658465482138	0.5159832106124577	0.6386260040306919	0.667535382405914	0.583417744266723	0.6226890548081084	0.5252864324096347
